char,interactions,modelo_5q$clusters
Elder-Brother,11,1
Florian-the-Fool,11,1
Garth-Greyfeather,11,1
Hairy-Hal,11,1
Jyck,11,1
Khorane-Sathmantes,11,1
Leaf,11,1
Leobald-Tallhart,11,1
Mariya-Darry,11,1
Monford-Velaryon,11,1
Quaithe,11,1
Rodrik-Sparr,11,1
Torrhen-Karstark,11,1
Urswyck,11,1
Amabel,10,1
Butterbumps,10,1
Chataya,10,1
Cutjack,10,1
Dirk,10,1
Dolf,10,1
Dunstan-Drumm,10,1
Franklyn-Flowers,10,1
Horas-Redwyne,10,1
Joramun,10,1
Meldred-Merlyn,10,1
Miklaz,10,1
Morrec,10,1
Nyessos-Vhassar,10,1
Richard-Horpe,10,1
Rory,10,1
Stygg,10,1
Talbert-Serry,10,1
Wick-Whittlestick,10,1
Ben-Bones,9,1
Clubfoot-Karl,9,1
Colen-of-Greenpools,9,1
Danwell-Frey,9,1
Eon-Hunter,9,1
Frenya,9,1
Fulk,9,1
Godric-Borrell,9,1
Hayhead,9,1
Jared-Frey,9,1
Jon-Umber-(Smalljon),9,1
Kasporio,9,1
Lambert-Turnberry,9,1
Mag-Mar-Tun-Doh-Weg,9,1
Meralyn,9,1
Orell,9,1
Oswell-Kettleblack,9,1
Oswell-Whent,9,1
Perwyn-Frey,9,1
Prendahl-na-Ghezn,9,1
Robin-Flint,9,1
Rosey,9,1
Sallor,9,1
Squint,9,1
Steelskin,9,1
Vylarr,9,1
Cromm,8,1
Dick-Follard,8,1
Eroeh,8,1
Gariss,8,1
Gerrick-Kingsblood,8,1
Gyles-Grafton,8,1
Haggon,8,1
Hallyne,8,1
Heward,8,1
Jonquil,8,1
Koss,8,1
Maggy,8,1
Marlon-Manderly,8,1
Marya-Seaworth,8,1
Mellei,8,1
Morra,8,1
Petyr-Frey,8,1
Quhuru-Mo,8,1
Roger-Ryswell,8,1
Symon-Stripeback,8,1
Talea,8,1
Ternesio-Terys,8,1
Willow-Heddle,8,1
Allar-Deem,7,1
Alys-Arryn,7,1
Anders-Yronwood,7,1
Benethon-Scales,7,1
Chayle,7,1
Clement-Piper,7,1
Desmond,7,1
Dick-Straw,7,1
Garth-(Wolfs-Den),7,1
Guncer-Sunglass,7,1
Gunthor-son-of-Gurn,7,1
Gynir,7,1
Harra,7,1
Hobber-Redwyne,7,1
Humfrey-Hewett,7,1
Husband,7,1
Joseth,7,1
Leona-Woolfield,7,1
Lyonel-Corbray,7,1
Malaquo-Maegyr,7,1
Marselen,7,1
Mezzara,7,1
Quellon-Greyjoy,7,1
Ralf-(Limper),7,1
Ravella-Swann,7,1
Raynard,7,1
Reek,7,1
Rhaenys-Targaryen,7,1
Ricasso,7,1
Rickard-Stark,7,1
Rollam-Westerling,7,1
Ronnet-Connington,7,1
Shadrich,7,1
Sigfryd-Harlaw,7,1
Smiling-Knight,7,1
Stiv,7,1
Theobald,7,1
Thistle,7,1
Tobho-Mott,7,1
Walda-Frey-(daughter-of-Merrett),7,1
Willam-Dustin,7,1
Aegon-V-Targaryen,6,1
Alerie-Hightower,6,1
Azor-Ahai,6,1
Big-Boil,6,1
Brandon-Norrey,6,1
Daemon-Sand,6,1
Daeron-II-Targaryen,6,1
Daryn-Hornwood,6,1
Drennan,6,1
Eldon-Estermont,6,1
Farlen,6,1
Forley-Prester,6,1
Gawen-Westerling,6,1
Gendel,6,1
Gormond-Goodbrother,6,1
Gorne,6,1
Howland-Reed,6,1
Jommo,6,1
Jonothor-Darry,6,1
Kedry,6,1
Lucas-Codd,6,1
Martyn-Lannister,6,1
Merrett-Frey,6,1
Palla,6,1
Preston-Greenfield,6,1
Puckens,6,1
Ralf-Stonehouse,6,1
Rennifer-Longwaters,6,1
Rhaegar-Frey,6,1
Rhaella-Targaryen,6,1
Steffon-Baratheon,6,1
Sybelle-Glover,6,1
Theomore,6,1
Tion-Frey,6,1
Torrhen-Stark,6,1
Umma,6,1
Urzen,6,1
Visenya-Targaryen,6,1
Werlag,6,1
Wylis-Manderly,6,1
Yorko-Terys,6,1
Ardrian-Celtigar,5,1
Bael-the-Bard,5,1
Bump,5,1
Coratt,5,1
Harwood-Stout,5,1
Jack-Be-Lucky,5,1
Joss,5,1
Kurleket,5,1
Marghaz-zo-Loraq,5,1
Masha-Heddle,5,1
Murch,5,1
Othor,5,1
Rhaegel-Targaryen,5,1
Rhaego,5,1
Rolph-Spicer,5,1
Rus,5,1
Barsena,4,1
Bartimus,4,1
Bonifer-Hasty,4,1
Captain-Myraham,4,1
Clarence-Crabb,4,1
Denys-Darklyn,4,1
Dobber,4,1
Elys-Waynwood,4,1
Emmond,4,1
Fogo,4,1
Frenken,4,1
Greydon-Goodbrother,4,1
Hake,4,1
Hoster-Blackwood,4,1
Jacks,4,1
Jeyne-Farman,4,1
Jeyne-Heddle,4,1
Joanna-Lannister,4,1
Kurz,4,1
Kyra,4,1
Lanna-(Happy-Port),4,1
Leo-Lefford,4,1
Mad-Huntsman,4,1
Mallador-Locke,4,1
Manfrey-Martell,4,1
Mebble,4,1
Morgo,4,1
Munda,4,1
Pate-(Old),4,1
Pate-(whipping-boy),4,1
Porther,4,1
Quill,4,1
Rhaenys-Targaryen-(daughter-of-Rhaegar),4,1
Rossart,4,1
Selwyn-Tarth,4,1
Shrouded-Lord,4,1
Tom-Barleycorn,4,1
Torbert,4,1
Tregar,4,1
Ulf-son-of-Umar,4,1
Varly,4,1
Willow-Witch-eye,4,1
Yurkhaz-zo-Yunzak,4,1
Aemon-Targaryen-(Dragonknight),3,1
Aerys-I-Targaryen,3,1
Aron-Santagar,3,1
Arson,3,1
Arthor-Karstark,3,1
Arwyn-Oakheart,3,1
Ashara-Dayne,3,1
Bellegere-Otherys,3,1
Black-Balaq,3,1
Blane,3,1
Brenett,3,1
Byam-Flint,3,1
Camarron,3,1
Captain-Myraham-Daughter,3,1
Cedric-Payne,3,1
Corliss-Penny,3,1
Daeron-I-Targaryen,3,1
Dancy,3,1
Denzo-Dhan,3,1
Donnel-Waynwood,3,1
Draqaz,3,1
Dryn,3,1
Elbert-Arryn,3,1
Eustace-Brune,3,1
Ezzara,3,1
Franklyn-Fowler,3,1
Galyeon-of-Cuy,3,1
Garrett-Paege,3,1
Garth-Tyrell,3,1
Gelmarr,3,1
Gerald-Gower,3,1
Gerold-Grafton,3,1
Gormon-Tyrell,3,1
Grazdan-mo-Eraz,3,1
Grisel,3,1
Hali,3,1
Halys-Hornwood,3,1
Harl,3,1
Harras-Harlaw,3,1
Hugh,3,1
Hugh-Hungerford,3,1
Hugo-Vance,3,1
Imry-Florent,3,1
Jaehaerys-I-Targaryen,3,1
Jafer-Flowers,3,1
Jon-Fossoway,3,1
Joy-Hill,3,1
Kella,3,1
Larraq,3,1
Leonette-Fossoway,3,1
Lewys-Piper,3,1
Longwater-Pyke,3,1
Lorent-Caswell,3,1
Lucifer-Long,3,1
Luton,3,1
Lyanna-Mormont,3,1
Lynesse-Hightower,3,1
Lysono-Maar,3,1
Maekar-I-Targaryen,3,1
Mark-Mullendore,3,1
Maron-Greyjoy,3,1
Martyn-Rivers,3,1
Matthar,3,1
Matthos-Seaworth,3,1
Merrit,3,1
Moreo-Tumitis,3,1
Mychel-Redfort,3,1
Nage,3,1
Old-Bill-Bone,3,1
Owen-Merryweather,3,1
Poxy-Tym,3,1
Praed,3,1
Ragwyle,3,1
Raymun-Redbeard,3,1
Rolfe-the-Dwarf,3,1
Roose-Ryswell,3,1
Rugen,3,1
Sarella-Sand,3,1
Sawane-Botley,3,1
Shadd,3,1
Shitmouth,3,1
Shortear,3,1
Simon-Toyne,3,1
Softfoot,3,1
Soren-Shieldbreaker,3,1
Steffon-Varner,3,1
Tarber,3,1
Timoth,3,1
Torghen-Flint,3,1
Torgon-Greyiron,3,1
Torwold-Browntooth,3,1
Tristifer-IV-Mudd,3,1
Ulmer,3,1
Watt,3,1
Widower,3,1
William-Foxglove,3,1
Wulfe,3,1
Wylla,3,1
Wynton-Stout,3,1
Zei,3,1
