char,interactions,modelo_5q$clusters
Jared-Frey,9,1
Jaremy-Rykker,30,1
Jarl,68,1
Jarman-Buckwell,14,1
Jason-Mallister,12,1
Jeor-Mormont,484,1
Jeyne-Farman,4,1
Jeyne-Heddle,4,1
Jeyne-Poole,112,1
Jeyne-Westerling,49,1
Jhiqui,183,1
Jhogo,131,1
Joanna-Lannister,4,1
Jocelyn-Swyft,31,1
Joffrey-Baratheon,1762,5
Jojen-Reed,261,1
Jommo,6,1
Jon-Arryn,199,1
Jon-Connington,169,1
Jon-Fossoway,3,1
Jon-Snow,2757,1
Jon-Umber-(Greatjon),102,1
Jon-Umber-(Smalljon),9,2
Jonos-Bracken,12,1
Jonothor-Darry,6,1
Jonquil,8,1
Jorah-Mormont,401,1
Joramun,10,1
Jory-Cassel,152,1
Joseth,7,1
Josmyn-Peckledon,23,1
Joss,5,1
Joy-Hill,3,1
Justin-Massey,40,1
Jyck,11,1
Karyl-Vance,15,1
Kasporio,9,2
Kedry,6,1
Kegs,29,1
Kella,3,1
Kerwin,12,1
Kevan-Lannister,196,1
Khorane-Sathmantes,11,1
Khrazz,28,1
Kindly-Man,30,1
Kojja-Mo,15,1
Koss,8,1
Kraznys-mo-Nakloz,19,1
Kurleket,5,1
Kurz,4,1
Kyra,4,1
Lambert-Turnberry,9,1
Lamprey,19,1
Lancel-Lannister,149,1
Lanna-(Happy-Port),4,1
Lark,30,1
Larraq,3,1
Leaf,11,1
Leathers,37,1
Lem,155,1
Lemore,54,1
Leo-Lefford,4,1
Leo-Tyrell,24,1
Leobald-Tallhart,11,1
Leona-Woolfield,7,1
Leonette-Fossoway,3,1
Lewyn-Martell,12,1
Lewys-Piper,3,1
Lollys-Stokeworth,51,1
Lommy-Greenhands,99,2
Longwater-Pyke,3,1
Loras-Tyrell,329,1
Lorent-Caswell,3,1
Lorren,31,1
Lothar-Frey,50,1
Lothor-Brune,30,1
Lucas-Codd,6,1
Lucifer-Long,3,1
Luton,3,1
Luwin,376,1
Lyanna-Mormont,3,1
Lyanna-Stark,40,1
Lyle-Crakehall,27,1
Lyn-Corbray,17,1
Lynesse-Hightower,3,1
Lyonel-Corbray,7,1
Lysa-Arryn,341,1
Lysono-Maar,3,1
Mace-Tyrell,203,1
Mad-Huntsman,4,1
Maddy,28,5
Maege-Mormont,27,1
Maegor-I-Targaryen,22,1
Maekar-I-Targaryen,3,1
Mag-Mar-Tun-Doh-Weg,9,1
Maggy,8,1
Malaquo-Maegyr,7,1
Malegorn,19,1
Mallador-Locke,4,1
Mance-Rayder,389,1
Mandon-Moore,57,1
Manfrey-Martell,4,1
Margaery-Tyrell,442,1
Marghaz-zo-Loraq,5,1
Marillion,64,1
Mariya-Darry,11,1
Mark-Mullendore,3,1
Marlon-Manderly,8,1
Maron-Greyjoy,3,1
Marq-Piper,32,1
Marselen,7,1
Martyn-Lannister,6,1
Martyn-Rivers,3,1
Marwyn,12,1
Marya-Seaworth,8,1
Masha-Heddle,5,1
Mathis-Rowan,35,1
Matthar,3,1
Matthos-Seaworth,3,1
Mebble,4,1
Meera-Reed,291,1
Megga-Tyrell,49,1
Melara-Hetherspoon,15,1
Meldred-Merlyn,10,1
Melisandre,327,1
Mellei,8,1
Meralyn,9,1
Meribald,47,1
Meris,43,1
Mero,24,1
Merrett-Frey,6,1
Merrit,3,1
Meryn-Trant,298,1
Mezzara,7,1
Mikken,25,1
Miklaz,10,1
Mirri-Maz-Duur,66,1
Missandei,121,1
Moelle,26,1
Mollander,20,1
Monford-Velaryon,11,1
Moon-Boy,36,1
Moqorro,39,1
Mord,20,1
Mordane,145,1
Moreo-Tumitis,3,1
Morgo,4,1
Morra,8,1
Morrec,10,1
Mors-Umber,17,1
Mully,46,1
Munda,4,1
Murch,5,1
Murenmure,14,1
Mya-Stone,34,1
Mycah,65,1
Mychel-Redfort,3,1
Myles-Toyne,13,1
Myranda-Royce,13,1
Myrcella-Baratheon,264,1
Nage,3,1
Nan,91,1
Narbert,14,1
Narbert-Grandison,24,1
Nestor-Royce,58,1
Nurse,28,1
Nute,24,1
Nyessos-Vhassar,10,1
Nymeria-Sand,40,1
Obara-Sand,68,1
Oberyn-Martell,192,1
Ogo,18,1
Old-Bill-Bone,3,1
Olenna-Redwyne,55,1
Olyvar-Frey,16,1
Orell,9,1
Orton-Merryweather,43,1
Osfryd-Kettleblack,25,1
Osha,117,1
Osmund-Kettleblack,218,1
Osney-Kettleblack,85,1
Oswell-Kettleblack,9,1
Oswell-Whent,9,1
Othell-Yarwyck,81,1
Othor,5,1
Ottyn-Wythers,15,1
Owen,55,1
Owen-Merryweather,3,1
Oznak-zo-Pahl,12,1
Palla,6,1
Patchface,23,1
Pate-(Old),4,1
Pate-(novice),47,1
Pate-(whipping-boy),4,1
Patrek-of-Kings-Mountain,20,1
Paxter-Redwyne,34,1
Penny,92,1
Perwyn-Frey,9,1
Petyr-Baelish,733,1
Petyr-Frey,8,1
Pia,22,1
Podrick-Payne,159,1
Polliver,151,1
Pono,14,1
Porridge,14,1
Porther,4,1
Poxy-Tym,3,1
Praed,3,1
Prendahl-na-Ghezn,9,1
Preston-Greenfield,6,1
Puckens,6,1
Pyat-Pree,24,1
Pycelle,357,1
Pyg,22,1
Pylos,77,1
Pypar,232,1
Qarl-the-Maid,16,1
Qavo-Nogarys,16,1
Qezza,21,1
Qhorin-Halfhand,166,1
Qotho,68,1
Quaithe,11,1
Quaro,21,1
Quellon-Greyjoy,7,1
Quentyn-Martell,246,1
Quhuru-Mo,8,1
Quill,4,1
Qyburn,127,1
Rafford,171,1
Ragwyle,3,1
Rakharo,85,1
Ralf-(Limper),7,1
Ralf-Stonehouse,6,1
Ramsay-Snow,241,1
Randyll-Tarly,67,1
Rast,26,1
Rattleshirt,129,1
Ravella-Swann,7,1
Raymun-Darry,12,1
Raymun-Redbeard,3,1
Raynald-Westerling,16,1
Raynard,7,1
Red-Oarsman,12,1
Reek,7,1
Renly-Baratheon,639,1
Rennifer-Longwaters,6,1
Reznak-mo-Reznak,49,1
Rhaegar-Frey,6,1
Rhaegar-Targaryen,202,1
Rhaegel-Targaryen,5,1
Rhaego,5,1
Rhaella-Targaryen,6,1
Rhaenys-Targaryen,7,1
Rhaenys-Targaryen-(daughter-of-Rhaegar),4,1
Ricasso,7,1
Richard-Horpe,10,1
Rickard-Karstark,89,1
Rickard-Stark,7,1
Rickon-Stark,345,1
Robar-Royce,13,1
Robb-Stark,1424,1
Robert-Arryn,151,1
Robert-Baratheon,1488,1
Robert-Strong,14,1
Robett-Glover,24,1
Robin-Flint,9,1
Robin-Ryger,12,1
Rodrik-Cassel,253,1
Rodrik-Harlaw,30,1
Rodrik-Sparr,11,1
Roger-Ryswell,8,1
Rolfe-the-Dwarf,3,1
Rollam-Westerling,7,1
Rolly-Duckfield,101,1
Rolph-Spicer,5,1
Ronnet-Connington,7,1
Roone,20,1
Roose-Bolton,232,1
Roose-Ryswell,3,1
Rorge,77,1
Rory,10,1
Rosey,9,1
Roslin-Frey,43,1
Rossart,4,1
Rowan,27,1
Rugen,3,1
Rus,5,1
Ryk,29,1
Ryman-Frey,64,1
Salladhor-Saan,74,1
Sallor,9,1
Samwell-Tarly,934,1
Sandor-Clegane,528,1
Sansa-Stark,1547,1
Sarella-Sand,3,1
Satin,101,1
Sawane-Botley,3,1
Scar,12,1
Scolera,27,1
Selwyn-Tarth,4,1
Selyse-Florent,207,1
Senelle,12,1
Shadd,3,1
Shadrich,7,1
Shae,147,1
Shagga,70,1
Shagwell,34,1
Sharna,15,1
Shireen-Baratheon,68,1
Shitmouth,3,1
Shortear,3,1
Shrouded-Lord,4,1
Sigfryd-Harlaw,7,1
Sigorn,17,1
Simon-Toyne,3,1
Skahaz-mo-Kandaq,135,1
Skinner,25,1
Small-Paul,44,1
Smiling-Knight,7,1
Softfoot,3,1
Soren-Shieldbreaker,3,1
Sour-Alyn,34,1
Spare-Boot,23,1
Spotted-Cat,26,1
Squint,9,1
Squirrel,20,1
Stafford-Lannister,14,1
Stannis-Baratheon,1375,1
Steelskin,9,1
Steffon-Baratheon,6,1
Steffon-Varner,3,1
Stevron-Frey,19,1
Stiv,7,1
Stonesnake,26,1
Stygg,10,1
Styr,99,1
Sweets,17,1
Sybell-Spicer,19,1
Sybelle-Glover,6,1
Sylva-Santagar,33,1
Symon-Silver-Tongue,13,1
Symon-Stripeback,8,1
Symond-Templeton,23,1
Syrio-Forel,43,1
Taena-of-Myr,105,1
Talbert-Serry,10,1
Talea,8,1
Tallad,19,1
Tanda-Stokeworth,48,1
Tansy,25,1
Tarber,3,1
Tattered-Prince,45,1
Ternesio-Terys,8,1
Terrance-Lynderly,12,1
Theobald,7,1
Theomore,6,1
Theon-Greyjoy,782,1
Thistle,7,1
Thoren-Smallwood,56,1
Thoros-of-Myr,117,1
Tickler,143,1
Timeon,22,1
Timett,29,1
Timoth,3,1
Tion-Frey,6,1
Tobho-Mott,7,1
Todder,41,1
Tom-Barleycorn,4,1
Tom-of-Sevenstreams,85,1
Tomard,42,1
Tommen-Baratheon,539,1
Torbert,4,1
Toregg,18,1
Torghen-Flint,3,1
Torgon-Greyiron,3,1
Tormund,180,1
Torrhen-Karstark,11,1
Torrhen-Stark,6,1
Torwold-Browntooth,3,1
Tregar,4,1
Tristifer-Botley,24,1
Tristifer-IV-Mudd,3,1
Trystane-Martell,17,1
Tybero-Istarion,16,1
Tycho-Nestoris,22,1
Tyene-Sand,57,1
Tyrion-Lannister,2873,1
Tysha,24,1
Tytos-Blackwood,19,1
Tywin-Lannister,690,1
Ulf-son-of-Umar,4,1
Ulmer,3,1
Umma,6,1
Unella,43,1
Urswyck,11,1
Urzen,6,1
Utherydes-Wayn,15,1
Val,125,1
Varamyr,39,1
Vardis-Egen,37,1
Vargo-Hoat,73,1
Varly,4,1
Varys,609,1
Vayon-Poole,28,1
Victarion-Greyjoy,215,1
Visenya-Targaryen,6,1
Viserys-Targaryen,169,1
Vylarr,9,1
Vyman,23,1
Waif,33,1
Walda-Frey-(daughter-of-Merrett),7,1
Walder-Frey,176,1
Walder-Frey-(son-of-Jammos),26,1
Walder-Frey-(son-of-Merrett),52,1
Walder-Rivers,24,1
Walgrave,13,1
Walton,34,1
Watt,3,1
Waymar-Royce,34,1
Weasel,27,1
Weeper,24,1
Weese,49,1
Wendel-Manderly,28,1
Werlag,6,1
Wex-Pyke,32,1
Wick-Whittlestick,10,1
Widower,3,1
Will-(prologue),30,1
Willam-Dustin,7,1
Willas-Tyrell,37,1
Willem-Lannister,15,1
William-Foxglove,3,1
Willis-Wode,28,1
Willow-Heddle,8,1
Willow-Witch-eye,4,1
Woth,18,1
Wulfe,3,1
Wun-Weg-Wun-Dar-Wun,28,1
Wyl-(guard),15,1
Wylis-Manderly,6,1
Wylla,3,1
Wyman-Manderly,116,1
Wynton-Stout,3,1
Xaro-Xhoan-Daxos,42,1
Xhondo,22,1
Yandry,65,1
Yellow-Dick,15,1
Yezzan-zo-Qaggaz,48,1
Ygritte,165,1
Yohn-Royce,40,1
Yoren,120,1
Yorko-Terys,6,1
Ysilla,46,1
Yurkhaz-zo-Yunzak,4,1
Zei,3,1
Zollo,14,1
